id,Clip Name,Category,Needs,Feelings,Label
0,0001.mp4,"dialog,","peace,",,
1,0002.mp4,"reaction,",,"sad,",
2,0003.mp4,"dialog,reaction,","play,physicalWellbeing,",,
3,0004.mp4,"action,",,,"WAITING,"
4,0005.mp4,"action,",,,"dance,"
5,0006.mp4,"action,",,,"dance,"
6,0007.mp4,"action,",,,"WAITING,"
7,0008.mp4,"reaction,dialog,",,"angry,annoyed,","question,"
8,0009.mp4,"reaction,",,"sad,vulnerable,pain,",
9,0010.mp4,"reaction,dialog,",,"peaceful,",
10,0012.mp4,"action,","play,physicalWellbeing,",,
11,0013.mp4,"reaction,",,"afraid,disquiet,",
12,0014.mp4,"action,",,,"WAITING,"
13,0016.mp4,"reaction,dialog,",,"aversion,annoyed,",
14,0017.mp4,"dialog,reaction,","connection,","tense,",
15,0018.mp4,"dialog,","connection,","annoyed,","question,"
16,0019.mp4,"dialog,","meaning,",,"question,"
17,0020.mp4,"dialog,","connection,meaning,",,
18,0021.mp4,"dialog,","connection,","affectionate,joyful,","question,"
19,0022.mp4,"reaction,dialog,",,"grateful,embarassed,vulnerable,",
20,0023.mp4,"action,",,,"WALKING,"
21,0024.mp4,"dialog,",,"confident,inspired,tense,",
22,0025.mp4,"action,",,,"FIGHTING,"
23,0026.mp4,"action,",,,"FIGHTING,"
24,0027.mp4,"action,",,,"FIGHTING,"
25,0028.mp4,"action,",,,"FIGHTING,"
26,0029.mp4,"reaction,",,"confident,excited,exhilarated,",
27,0030.mp4,"reaction,",,"confident,inspired,",
28,0031.mp4,"reaction,",,"confident,inspired,",
29,0032.mp4,"reaction,",,"confident,exhilarated,",
30,0033.mp4,"reaction,dialog,",,"confused,angry,annoyed,","question,"
31,0034.mp4,"reaction,",,"confused,angry,",
32,0035.mp4,"reaction,",,"confused,angry,",
33,0036.mp4,"action,","connection,",,"greeting,"
34,0037.mp4,"reaction,",,"aversion,angry,disquiet,",
35,0038.mp4,"action,","play,autonomy,",,"dance,"
36,0039.mp4,"reaction,","play,autonomy,meaning,","aversion,",
37,0040.mp4,"reaction,",,"afraid,confused,",
38,0041.mp4,"reaction,","connection,","confident,joyful,",
39,0042.mp4,"reaction,",,"confused,annoyed,",
40,0043.mp4,"dialog,",,"confused,joyful,","question,"
41,0044.mp4,"reaction,",,"confused,annoyed,",
42,0045.mp4,"reaction,","honesty,peace,play,","confident,inspired,joyful,",
43,0046.mp4,"action,",,,"WAITING,"
44,0047.mp4,"action,",,,"WAITING,"
45,0048.mp4,"action,","play,",,"dance,"
46,0049.mp4,"action,","play,",,"dance,"
47,0050.mp4,"reaction,",,"aversion,",
48,0051.mp4,"reaction,action,",,"afraid,excited,","WAITING,"
49,0052.mp4,"reaction,",,"aversion,embarassed,",
50,0053.mp4,"reaction,",,"inspired,disconnected,",
51,0054.mp4,"action,","play,",,"dance,"
52,0055.mp4,"action,","play,",,"dance,"
53,0056.mp4,"dialog,","connection,meaning,","vulnerable,",
54,0057.mp4,"reaction,",,"grateful,vulnerable,",
55,0058.mp4,,,,
56,0059.mp4,,,,
57,0060.mp4,,,,
58,0061.mp4,,,,
59,0062.mp4,,,,
60,0063.mp4,,,,
61,0064.mp4,,,,
62,0065.mp4,,,,
63,0066.mp4,,,,
64,0067.mp4,,,,
65,0068.mp4,,,,
66,0069.mp4,,,,
67,0070.mp4,,,,
68,0071.mp4,,,,
69,0072.mp4,,,,
70,0073.mp4,,,,
71,0074.mp4,,,,
72,0075.mp4,,,,
73,0076.mp4,,,,
74,0077.mp4,,,,
75,0100.mp4,"dialog,action,",,,"greeting,"
76,0101.mp4,"dialog,",,"confused,","question,"
77,0102.mp4,,,,
78,0103.mp4,,,,
79,0104.mp4,,,,
80,0105.mp4,,,,
81,0106.mp4,,,,
82,0107.mp4,,,,
83,0108.mp4,,,,
84,0109.mp4,,,,
85,0110.mp4,,,,
86,0111.mp4,,,,
87,0112.mp4,,,,
88,0113.mp4,,,,
89,0114.mp4,,,,
90,0115.mp4,,,,
91,0200.mp4,,,,
92,0201.mp4,,,,
93,0202.mp4,,,,
94,0203.mp4,,,,
95,0204.mp4,,,,
96,0205.mp4,,,,
97,0206.mp4,,,,
98,0207.mp4,,,,
99,0208.mp4,,,,
100,0209.mp4,,,,
101,0210.mp4,,,,
102,0211.mp4,,,,
103,0212.mp4,,,,
104,0213.mp4,,,,
105,0214.mp4,,,,
106,0215.mp4,,,,
107,0216.mp4,,,,
108,0217.mp4,,,,
109,0218.mp4,,,,
110,0219.mp4,,,,
111,0220.mp4,,,,
112,0221.mp4,,,,
113,0222.mp4,,,,
114,0223.mp4,,,,
115,0224.mp4,,,,
116,0225.mp4,,,,
117,0226.mp4,,,,
118,0227.mp4,,,,
119,0228.mp4,,,,
120,0229.mp4,,,,
121,0230.mp4,,,,
122,0231.mp4,,,,
123,0232.mp4,,,,
124,0233.mp4,,,,
125,0234.mp4,,,,
126,0235.mp4,,,,
127,0236.mp4,,,,
128,0237.mp4,,,,
129,0238.mp4,,,,
130,0239.mp4,,,,
131,0240.mp4,,,,
132,0241.mp4,,,,
133,0242.mp4,,,,
134,0243.mp4,,,,
135,0244.mp4,,,,
136,0245.mp4,,,,
137,0246.mp4,,,,
138,0247.mp4,,,,
139,0248.mp4,,,,
140,0249.mp4,,,,
141,0250.mp4,,,,
142,0251.mp4,,,,
143,0252.mp4,,,,
144,0253.mp4,,,,
145,0254.mp4,,,,
146,0255.mp4,,,,
147,0256.mp4,,,,
148,0257.mp4,,,,
149,0258.mp4,,,,
150,0259.mp4,,,,
151,0260.mp4,,,,
152,0261.mp4,,,,
153,0262.mp4,,,,
154,0263.mp4,,,,
155,0264.mp4,,,,
156,0265.mp4,,,,
157,0266.mp4,,,,
158,0267.mp4,,,,
159,0268.mp4,,,,
160,0269.mp4,,,,
161,0270.mp4,,,,
162,0271.mp4,,,,
163,0272.mp4,,,,
164,0273.mp4,,,,
165,0274.mp4,,,,
166,0275.mp4,,,,
167,0276.mp4,,,,
168,0277.mp4,,,,
169,0278.mp4,,,,
170,0279.mp4,,,,
171,0280.mp4,,,,
172,0281.mp4,,,,
173,0282.mp4,,,,
174,0283.mp4,,,,
175,0284.mp4,,,,
176,0285.mp4,,,,
177,0286.mp4,,,,
178,0287.mp4,,,,
179,0288.mp4,,,,
180,0289.mp4,,,,
181,0290.mp4,,,,
182,0291.mp4,,,,
183,0292.mp4,,,,
184,0293.mp4,,,,
185,0294.mp4,,,,
186,0295.mp4,,,,
187,0296.mp4,,,,
188,0297.mp4,,,,
189,0298.mp4,,,,
190,0299.mp4,,,,
191,0301.mp4,,,,
192,0302.mp4,,,,
193,0303.mp4,,,,
194,0304.mp4,,,,
195,0305.mp4,"dialog,","play,",,
196,0306.mp4,,,,
197,0307.mp4,,,,
198,0308.mp4,,,,
199,0309.mp4,,,,
200,0310.mp4,,,,
201,0311.mp4,,,,
202,0312.mp4,,,,
203,0313.mp4,,,,
204,0314.mp4,,,,
205,0315.mp4,,,,
206,0316.mp4,,,,
207,0317.mp4,,,,
208,0318.mp4,,,,
209,0319.mp4,,,,
210,0320.mp4,,,,
211,0321.mp4,,,,
212,0322.mp4,,,,
213,0323.mp4,,,,
214,0324.mp4,,,,
215,0325.mp4,,,,
216,0326.mp4,,,,
217,0327.mp4,,,,
218,0328.mp4,,,,
219,0329.mp4,,,,
220,0330.mp4,,,,
221,0331.mp4,,,,
222,0332.mp4,,,,
223,0333.mp4,,,,
224,0334.mp4,,,,
225,0335.mp4,,,,
226,0336.mp4,,,,
227,0337.mp4,,,,
228,0338.mp4,,,,
229,0339.mp4,,,,
230,0340.mp4,,,,
231,0341.mp4,,,,
232,0342.mp4,,,,
233,0343.mp4,,,,
234,0344.mp4,,,,
235,0345.mp4,,,,
236,0346.mp4,,,,
237,0347.mp4,,,,
238,0348.mp4,,,,
239,0349.mp4,,,,
240,0350.mp4,,,,
241,0351.mp4,,,,
242,0352.mp4,,,,
243,0353.mp4,,,,
244,0354.mp4,,,,
245,0355.mp4,,,,
246,0356.mp4,,,,
247,0357.mp4,,,,
248,0358.mp4,,,,
249,0359.mp4,,,,
250,0360.mp4,,,,
251,0361.mp4,,,,
252,0362.mp4,,,,
253,0363.mp4,,,,
254,0364.mp4,,,,
255,0365.mp4,,,,
256,0366.mp4,,,,
257,0367.mp4,,,,
258,0368.mp4,,,,
259,0369.mp4,,,,
260,0370.mp4,,,,
261,0371.mp4,,,,
262,0372.mp4,,,,
263,0373.mp4,,,,
264,0374.mp4,,,,
265,0375.mp4,,,,
266,0376.mp4,,,,
267,0377.mp4,,,,
268,0380.mp4,,,,
269,0381.mp4,,,,
270,0382.mp4,,,,
271,0383.mp4,,,,
272,0384.mp4,,,,
273,0385.mp4,,,,
274,0386.mp4,,,,
275,0387.mp4,,,,
276,0388.mp4,,,,
277,0389.mp4,,,,
278,0390.mp4,,,,
279,0391.mp4,,,,
280,0392.mp4,,,,
281,0393.mp4,,,,
282,0394.mp4,"dialog,",,"engaged,grateful,affectionate,",
283,0395.mp4,"reaction,",,"inspired,affectionate,refreshed,",
284,0396.mp4,"dialog,reaction,","play,connection,",,"question,"
285,0397.mp4,"dialog,action,",,,"greeting,"
286,0398.mp4,"dialog,",,,
287,0399.mp4,"dialog,","play,connection,","disconnected,",
